"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","DV_TYPE","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.BIH.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Bosnia and Herzegovina","Annual","Millions","","","","","","","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.PRT.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Portugal","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.RUS.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Russian Federation","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FALL_FE.U202.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Sub-Saharan Africa","Annual","Millions","0.0","0.0","4326.0","434.03","2014.73","361.159787","236.0","125.8","155.3","74.0","0.0","113.0","161.2669","172.914","175.872"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FL_ALL.GTM.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Guatemala","Annual","Millions","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.U005.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","South America","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FL_ALL.U202.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Sub-Saharan Africa","Annual","Millions","0.0","0.0","6.0","144.31","80.02","86.761622","33.0","32.1","23.5","402.0","84.0","870.0","819.4581","641.668","722.049"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.DNK.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Denmark","Annual","Millions","","2687.0","2797.0","3010.0","2611.0","1636.0","1060.0","1998.0","651.0","698.0","1208.0","1755.0","2054.0","3105.0","3121.0"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.HKG.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Hong Kong Special Administrative Region, People's Republic of China","Annual","Millions","464.0","655.0","760.0","1007.0","1331.0","1540.0","1387.0","1522.0","1007.0","1656.0","2058.0","2515.0","2465.0","2515.0","2494.0"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.SLV.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","El Salvador","Annual","Millions","","","","","","","","","","","","","","",""
