"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","DV_TYPE","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.MEX.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Mexico","Annual","Millions","2523.0","3300.0","3710.0","4427.0","4320.0","4417.0","5206.0","4618.0","4763.0","6231.0","5816.0","7079.0","6053.0","6676.0","7430.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.KOR.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Korea, Republic of","Annual","Millions","0.0","0.0","0.0","0.411","2971.645","2152.7646","1701.75","1816.313","2080.142","2735.445","2874.238","4990.276","5093.79775704955","4670.03383296906","5120.32618855708"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.GTM.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Guatemala","Annual","Millions","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.MOZ.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Mozambique, Republic of","Annual","Millions","","","0.0","0.0","","0.0","0.0","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.CZE.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Czech Republic","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.GX225.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","North and Central America","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.HUN.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Hungary","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.LVA.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Latvia, Republic of","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.MLT.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Malta","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.GX641.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","North Africa","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.THA.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Thailand","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.ARM.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Armenia, Republic of","Annual","Millions","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.THA.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Thailand","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.U005.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","South America","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","",""
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.MEX.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Mexico","Annual","Millions","","","0.0","","","","","","","","","","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.NGA.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Nigeria","Annual","Millions","","","","","","","","","","","0.0","0.0","0.0","0.0",""
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.GX509.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Central and South Asia","Annual","Millions","","","","","","","","","","","","154.843308","225.787072","110.401879","222.130942"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FALL_FE.MEX.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Mexico","Annual","Millions","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.FIN.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Finland","Annual","Millions","","","","","","","","","0.0","0.0","0.0","1.2271","0.0","1.0666","1.105"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FALL_FE.GX641.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","North Africa","Annual","Millions","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.EST.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Estonia, Republic of","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","0.0",""
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.DZA.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Algeria","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.SLV.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","El Salvador","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FALL_FE.EST.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Estonia, Republic of","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","",""
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.U005.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","South America","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.GX225.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","North and Central America","Annual","Millions","","","","","","","","","","","","43.558193","49.839574","35.145214","48.114954"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.SVN.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Slovenia, Republic of","Annual","Millions","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.NGA.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Nigeria","Annual","Millions","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0",""
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.GX226.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","North Atlantic and Caribbean","Annual","Millions","","","","","","","","","","","","363.369838","442.613244","405.80837","408.02809"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.RUS.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Russian Federation","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.PRT.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Portugal","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.GX641.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","North Africa","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.GX454.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Other Near and Middle East Economies","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.CYP.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Cyprus","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.NOR.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Norway","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","2.197893"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.U202.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Sub-Saharan Africa","Annual","Millions","","","","","","","","","","","","39.068438","40.285919","35.809331","36.188008"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.KAZ.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Kazakhstan, Republic of","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.BGR.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Bulgaria","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.EST.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Estonia, Republic of","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.SLV.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","El Salvador","Annual","Millions","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.PRT.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Portugal","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FL_ALL.MAC.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Macao Special Administrative Region, People's Republic of China","Annual","Millions","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.GX454.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Other Near and Middle East Economies","Annual","Millions","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.SVN.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Slovenia, Republic of","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.MUS.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Mauritius","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.GTM.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Guatemala","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.SWE.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Sweden","Annual","Millions","","","","","","","","","","","","3.003504","7.487377","-0.036841","-0.036841"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.MLT.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Malta","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.FRA.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","France","Annual","Millions","","","","","","","","","","","","1.444164","0.0","0.0","75.896725"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FL_ALL.KAZ.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Kazakhstan, Republic of","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01515","0.29215","0.36515","0.04","0.108","0.009","0.058"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.LTU.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Lithuania, Republic of","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.NGA.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Nigeria","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.THA.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Thailand","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FL_ALL.PER.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Peru","Annual","Millions","0.395","4.497","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.THA.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Thailand","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.HUN.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Hungary","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.MEX.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Mexico","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.FIN.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Finland","Annual","Millions","","","","","","","","","","","","13.601779","13.743898","60.430945","46.467092"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.MKD.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","North Macedonia, Republic of","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FL_ALL.SLV.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","El Salvador","Annual","Millions","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.BEL.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Belgium","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.SVK.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Slovak Republic","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.ZAF.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","South Africa","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.BRB.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Barbados","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.BGR.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Bulgaria","Annual","Millions","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.ARM.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Armenia, Republic of","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.AUT.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Austria","Annual","Millions","","","","","","","","","","","","0.0","0.0","41.800776","42.242811"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.DEU.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Germany","Annual","Millions","","","","","","","","","","","","107.808929","223.747565","234.501729","190.16266"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.ESP.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Spain","Annual","Millions","","","","","","","","","","","","21.300632","20.107242","10.122256","20.53326"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.MOZ.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Mozambique, Republic of","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.TTO.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Trinidad and Tobago","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.PAK.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Pakistan","Annual","Millions","0.0","","","0.0","0.0","0.0","0.0","","","","","","","",""
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.LTU.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Lithuania, Republic of","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FALL_FE.SWZ.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Eswatini, Kingdom of","Annual","Millions","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.SLV.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","El Salvador","Annual","Millions","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FL_ALL.BIH.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Bosnia and Herzegovina","Annual","Millions","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FALL_FE.PAK.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Pakistan","Annual","Millions","0.0","0.0","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FALL_FE.GTM.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Guatemala","Annual","Millions","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FALL_FE.RUS.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Russian Federation","Annual","Millions","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","",""
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.EST.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Estonia, Republic of","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.CYP.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Cyprus","Annual","Millions","","","","0.0","0.0","0.0","0.0","","","","0.0","","","","2.15917442"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.BGD.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Bangladesh","Annual","Millions","0.0","0.0","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.AUT.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Austria","Annual","Millions","","","70.0","89.0","84.0","88.0","166.0","289.0","132.0","229.0","309.0","564.0","514.0","488.0","281.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.MKD.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","North Macedonia, Republic of","Annual","Millions","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FL_ALL.MEX.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Mexico","Annual","Millions","1583.632","1437.928","2187.926","1132.159","2547.949","1502.335","2622.191","2936.767","2279.715","3049.848","3274.376","982.416","1687.842","1090.189","1104.422"
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.PER.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Peru","Annual","Millions","0.0","0.0","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","TWN.SCC.INWD_D_AG_FALL_FE.SWE.A","OBS_VALUE","Taiwan Province of China","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Sweden","Annual","Millions","","","","","","0.0","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.DZA.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Algeria","Annual","Millions","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FL_ALL.MKD.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","North Macedonia, Republic of","Annual","Millions","","0.0","0.0","0.0","0.0","0.0","0.0","0.00629192026170237","0.0","0.0","0.0","1.51308","2.88447","6.11147","5.45236"
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FL_ALL.GX226.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","North Atlantic and Caribbean","Annual","Millions","","4.896784","0.2387395","3.32509265","0.9179025","","","","","","","","","0.0","0.0"
